        12000  0.9778942352843 
         7000  0.9764087637455 
         2000  0.03412133833927 
        -3000  -0.04244435631501 
        -8000  -0.1177612090448 
       -13000  -0.1840085362287 
       -18000  -0.2454585481679 
       -23000  -0.3099284335033 
       -28000  -0.3674790241383 
       -33000  -0.4270750713524 
       -38000  -0.4773417617414 
       -43000  -0.5238838329332 
       -48000  -0.5718927709224 
       -53000  -0.6140066458126 
       -58000  -0.6508625795456 
       -63000  -0.6909270969669 
       -68000  -0.7388047280308 
       -73000  -0.9886339762408 
       -78000  -0.9891440784455 
       -83000  -0.9896234645366 
       -88000  -0.9900723373065 
       -93000  -0.9904949796682 
       -98000  -0.9908937270113 
      -103000  -0.9912686940031 
      -108000  -0.9916156776273 
      -113000  -0.9919439614141 
      -118000  -0.9922554445977 
      -123000  -0.9925479381446 
      -128000  -0.9928243360379 
      -133000  -0.9930856641368 
      -138000  -0.9933310354348 
      -143000  -0.9935645114771 
      -148000  -0.9937858420174 
      -153000  -0.9939985631989 
      -158000  -0.9941960952483 
      -163000  -0.9943873501155 
      -168000  -0.9945692287695 
      -173000  -0.9947383526508 
      -178000  -0.994902484487 
      -183000  -0.9950580591867 
      -188000  -0.9952053829091 
      -193000  -0.9953475174405 
      -198000  -0.995482603398 
      -200000  -0.9955361867065 
